title,year,tomatometer,audience_score,box_office,credits,category,Director Name
The Broken Badge,1978,No Score Yet,No Score Yet,,Officer Brett Loebner (Character),Movie,Dennis Dugan
Diary of Richie Brockelman,1978,No Score Yet,No Score Yet,,Richie Brockleman (Character),Movie,Dennis Dugan
Harry and Walter Go to New York,1976,50,32,,Lewis (Character),Movie,Dennis Dugan
Norman... Is That You?,1976,40,70,,Garson Hobart (Character),Movie,Dennis Dugan
Richie Brockelman: The Missing 24 Hours,1976,No Score Yet,No Score Yet,,"Richard ""Richie"" Brockelman (Character)",Movie,Dennis Dugan
The Day of the Locust,1975,63,75,,Apprentice (Character),Movie,Dennis Dugan
Night Moves,1975,83,71,,Boy (Character),Movie,Dennis Dugan
Smile,1975,100,70,,Logan (Character),Movie,Dennis Dugan
Death Race,1973,No Score Yet,No Score Yet,,Pvt. Becker (Character),Movie,Dennis Dugan
The Mullets,2004-2004,27,No Score Yet,Box office not found,Director,TV Show,Dennis Dugan
NYPD Blue,"1993-1994,1997,2003",83,95,Box office not found,Director,TV Show,Dennis Dugan
Shasta,1999-2000,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Dennis Dugan
Love Boat: The Next Wave,1998-1998,14,No Score Yet,Box office not found,Director,TV Show,Dennis Dugan
Burke's Law,1994-1994,43,No Score Yet,Box office not found,Director,TV Show,Dennis Dugan
Columbo,"1976,1994-1976,1994",No Score Yet,81,Box office not found,"Sergeant Theodore `Mac' Albinsky (Guest Star),Director",TV Show,Dennis Dugan
Hunter,1987-1987,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Dennis Dugan
Empire,1984-1984,No Score Yet,No Score Yet,Box office not found,Ben Christian (Character),TV Show,Dennis Dugan
M*A*S*H,"1975,1983-1975,1983",No Score Yet,87,Box office not found,Pvt. Danny McShane (Guest Star),TV Show,Dennis Dugan
Hill Street Blues,1982-1982,97,85,Box office not found,Captain Freedom (Guest Star),TV Show,Dennis Dugan
It's a Living,1981-1981,No Score Yet,No Score Yet,Box office not found,Lloyd Hoffmeyer (Guest Star),TV Show,Dennis Dugan
Police Story,1978-1978,No Score Yet,No Score Yet,Box office not found,Officer Brett Loebner (Character),TV Show,Dennis Dugan
Alice,1976-1976,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Dennis Dugan
Good Heavens,1976-1976,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Dennis Dugan
Cannon,1974-1974,No Score Yet,No Score Yet,Box office not found,George Peters (Guest Star),TV Show,Dennis Dugan
The Waltons,1973-1973,No Score Yet,No Score Yet,Box office not found,Stuart Lee Claybourne (Guest Star),TV Show,Dennis Dugan
Mod Squad,1973-1973,No Score Yet,No Score Yet,Box office not found,Chris Norton (Guest Star),TV Show,Dennis Dugan
The Sixth Sense,1972-1972,No Score Yet,No Score Yet,Box office not found,Unknown (Guest Star),TV Show,Dennis Dugan
Teen Wolf: The Movie,2023,32,65,,Director,Movie,Russell Mulcahy
The Adventures of Errol Flynn,2018,50,80,,Director,Movie,Russell Mulcahy
Bait,2012,46,28,,"Screenwriter,Executive Producer",Movie,Russell Mulcahy
Give 'Em Hell Malone,2009,No Score Yet,35,,Director,Movie,Russell Mulcahy
Prayers for Bobby,2009,73,86,,Director,Movie,Russell Mulcahy
The Scorpion King 2: Rise of a Warrior,2008,No Score Yet,18,,Director,Movie,Russell Mulcahy
While the Children Sleep,2007,No Score Yet,23,,Director,Movie,Russell Mulcahy
Crash and Burn,2007,No Score Yet,26,,Director,Movie,Russell Mulcahy
Resident Evil: Extinction,2007,24,58,50648679,Director,Movie,Russell Mulcahy
The Curse of King Tut's Tomb,2006,No Score Yet,No Score Yet,,Director,Movie,Russell Mulcahy
3,2004,No Score Yet,84,,Director,Movie,Russell Mulcahy
Swimming Upstream,2003,61,80,47171,Director,Movie,Russell Mulcahy
1st to Die,2003,No Score Yet,45,,Director,Movie,Russell Mulcahy
The Lost Battalion,2001,No Score Yet,79,,Director,Movie,Russell Mulcahy
On the Beach,2000,No Score Yet,66,,Director,Movie,Russell Mulcahy
Resurrection,1999,17,55,,Director,Movie,Russell Mulcahy
Tale of the Mummy,1998,17,18,,"Director,Writer",Movie,Russell Mulcahy
Silent Trigger,1996,20,31,,Director,Movie,Russell Mulcahy
The Shadow,1994,37,44,31951990,Director,Movie,Russell Mulcahy
The Real McCoy,1993,24,43,6305945,Director,Movie,Russell Mulcahy
Blue Ice,1992,No Score Yet,32,,Director,Movie,Russell Mulcahy
Highlander II: The Quickening,1991,0%,23,13734970,Director,Movie,Russell Mulcahy
Ricochet,1991,74,52,20596333,Director,Movie,Russell Mulcahy
Highlander,1986,69,79,5735847,Director,Movie,Russell Mulcahy
Razorback,1984,58,47,,Director,Movie,Russell Mulcahy
Teen Wolf,2017-2017,81,85,Box office not found,Executive Producer,TV Show,Russell Mulcahy
The Lizzie Borden Chronicles,2015-2015,50,67,Box office not found,Director,TV Show,Russell Mulcahy
The Hunger,1997-1997,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Russell Mulcahy
Perversions of Science,1997-1997,No Score Yet,No Score Yet,Box office not found,Director,TV Show,Russell Mulcahy
Tales From the Crypt,"1991,1993-1994,1996",82,90,Box office not found,Director,TV Show,Russell Mulcahy
Blood Crime,2002,No Score Yet,23,,Director,Movie,William Graham
Acceptable Risk,2001,No Score Yet,18,,Director,Movie,William Graham
Sleeping With the Devil,1997,No Score Yet,62,,Director,Movie,William Graham
The Man Who Captured Eichmann,1996,No Score Yet,58,,Director,Movie,William Graham
Beauty's Revenge,1995,No Score Yet,20,,Director,Movie,William Graham
Betrayed: A Story of Three Women,1995,No Score Yet,No Score Yet,,Director,Movie,William Graham
A Friend to Die For,1994,No Score Yet,52,,Director,Movie,William Graham
Elvis and the Colonel: The Untold Story,1993,No Score Yet,No Score Yet,,Director,Movie,William Graham
Beyond Suspicion,1993,No Score Yet,No Score Yet,,Director,Movie,William Graham
Bed of Lies,1992,No Score Yet,No Score Yet,,Director,Movie,William Graham
Return to the Blue Lagoon,1991,0%,41,2330621,"Director,Producer",Movie,William Graham
Montana,1990,No Score Yet,No Score Yet,,Director,Movie,William Graham
True Blue,1989,No Score Yet,No Score Yet,,Director,Movie,William Graham
Billy the Kid,1989,No Score Yet,50,,Director,Movie,William Graham
Street of Dreams,1988,No Score Yet,No Score Yet,,Director,Movie,William Graham
Deadly Enemies,1988,No Score Yet,No Score Yet,,Director,Movie,William Graham
Proud Men,1987,No Score Yet,No Score Yet,,Director,Movie,William Graham
Police Story: The Freeway Killings,1987,No Score Yet,No Score Yet,,Director,Movie,William Graham
The Last Days of Frank and Jesse James,1986,No Score Yet,66,,Director,Movie,William Graham
George Washington: The Forging of a Nation,1986,No Score Yet,80,,Director,Movie,William Graham
