title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
Rambo: Last Blood,2019,https://www.rottentomatoes.com/m/rambo_last_blood,81,26,"Vietnam War veteran John Rambo tries to find some semblance of peace by raising horses on a ranch in Arizona. He's also developed a special familial bond with a woman named Maria and her teenage granddaughter Gabriela. But when a vicious Mexican cartel kidnaps Gabriela, Rambo crosses the border on a bloody and personal quest to rescue her and punish those responsible.",Adrian Grunberg,"Avi Lerner, Kevin King Templeton, Yariv Lerner, Les Weldon","Matthew Cirulnick, Sylvester Stallone",Lionsgate Films,"Millennium Films, Lionsgate, Campbell Grobman Films",R (Grisly Images|Drug Use|Language|Strong Graphic Violence),Action,English,"Sep 20, 2019, Wide","Sep 20, 2019",1h 29m,Digital 2.39:1,Sylvester Stallone,Dolby Atmos,$44.8M,,,
Escape Plan: The Extractors,2019,https://www.rottentomatoes.com/m/le_tombeau_3_extraction,13,NA,Ray Breslin and his team of security experts fight to rescue Breslin's girlfriend and a tech mogul's daughter from a formidable prison known as Devil's Station.,John Herzfeld,"Robbie Brenner, Mark Canton, Qiu Jie, Zack Schiller",Miles Chapman,,"Ingenious Media, Diamond Film Productions, Potato Eater Productions, The Fyzz, Emmett/Furla Oasis Films, Summit Entertainment, Highland Film Group, Leomus Pictures, BBL Motion Picture Studios, Twirly Films Limited",R (Violence and Language),Action,English,,"Jul 4, 2019",1h 30m,,Sylvester Stallone,,,,,
Backtrace,2018,https://www.rottentomatoes.com/m/backtrace,23,9,"After suffering a brain injury from a bank heist gone wrong, MacDonald develops amnesia and is put into a prison psychiatric ward. Following his seventh year of incarceration, he is coerced by an inmate and a ward doctor to break out of prison, and he's injected with a serum that forces him to relive the life he's forgotten. MacDonald must now elude a local detective, a toughened FBI agent, and the drug's dangerous side effects to recover the stolen money.",Brian A. Miller,"Randall Emmett, George Furla, Mark Stewart",Michael Maples,Lionsgate Premiere,"Happinet, Dreamscape Productions, Lionsgate, Diamond Films, Emmett/Furla/Oasis Films, Grindstone Entertainment Group",R (Violence and Some Language),"Action, Mystery & Thriller",English,"Dec 14, 2018, Limited","Feb 19, 2019",1h 27m,,Sylvester Stallone,,,,,
Creed II,2018,https://www.rottentomatoes.com/m/creed_ii,80,83,"In 1985, Russian boxer Ivan Drago killed former U.S. champion Apollo Creed in a tragic match that stunned the world. Against the wishes of trainer Rocky Balboa, Apollo's son Adonis Johnson accepts a challenge from Drago's son -- another dangerous fighter. Under guidance from Rocky, Adonis trains for the showdown of his life -- a date with destiny that soon becomes his obsession. Now, Johnson and Balboa must confront their shared legacy as the past comes back to haunt each man.",Steven Caple Jr.,"Sylvester Stallone, Kevin King Templeton, Charles Winkler, William Chartoff, David Winkler, Irwin Winkler","Sylvester Stallone, Juel Taylor","Metro-Goldwyn-Mayer, Warner Bros. Pictures","Metro-Goldwyn-Mayer Studios, New Line Cinema, Warner Bros.",PG-13 (Language|A Scene of Sensuality|Sports Action Violence),"Drama, Action",English,"Nov 21, 2018, Wide","Feb 12, 2019",2h 10m,Scope (2.35:1),Sylvester Stallone,,$115.7M,,,
Escape Plan 2: Hades,2018,https://www.rottentomatoes.com/m/escape_plan_2_hades,15,7,"Ray Breslin manages an elite team of security specialists trained in the art of breaking people out of the world's most impenetrable prisons. When his trusted operative, Shu Ren, is kidnapped and disappears inside the most elaborate prison ever built, Ray assembles an elite team to assist in the rescue.",Steven C. Miller,"Randall Emmett, Zack Schiller, George Furla, Mark Canton, Robbie Brenner",Miles Chapman,Lionsgate Films,"Grindstone Entertainment Group, Lionsgate",R (Violence and Language),"Action, Mystery & Thriller",English,"Jun 29, 2018, Limited","Jun 29, 2018",1h 34m,Scope (2.35:1),Sylvester Stallone,,,,,
Animal Crackers,2017,https://www.rottentomatoes.com/m/animal_crackers_2020,77,67,A family uses its magical box of animal crackers to help save a circus.,"Tony Bancroft, Scott Christian Sava","Marcus Englefield, Leiming Guan, Jaime Maestro, Scott Christian Sava, Jamie Thomason, George Lee, Zhuochen Li, Nathalie Martínez","Dean Lorey, Scott Christian Sava",,"Beijing Wen Hua Dong Run Investment Co., Storyoscopic Films, China Film Group Corporation, Instituto de la Cinematografía y de las Artes Audiovisuales (ICAA), Landmark International, Generalitat Valenciana, Blue Dream Studios Spain, Mayday Movie Productions, Odin's Eye Animation",,"Adventure, Animation",English,,"Jul 24, 2020",1h 34m,,Sylvester Stallone,,,,,
John G. Avildsen: King of the Underdogs,2017,https://www.rottentomatoes.com/m/john_g_avildsen_king_of_the_underdogs_2017,100,NA,"The life and career of John G. Avildsen, Oscar-winning director of ""Rocky"" and ""The Karate Kid""; includes interviews with friends and colleagues Sylvester Stallone, Ralph Macchio, Martin Scorsese, Burt Reynolds, Talia Shire and others.",Derek Wayne Johnson,"Emmett James, Derek Wayne Johnson, Chris May",Derek Wayne Johnson,Chassy Media,AJ16 Entertainment,,Documentary,English,"Aug 1, 2017, Original","Aug 1, 2017",1h 18m,Flat (1.85:1),Sylvester Stallone,Dolby Digital,,,,
Guardians of the Galaxy Vol. 2,2017,https://www.rottentomatoes.com/m/guardians_of_the_galaxy_vol_2,87,85,"Peter Quill and his fellow Guardians are hired by a powerful alien race, the Sovereign, to protect their precious batteries from invaders. When it is discovered that Rocket has stolen the items they were sent to guard, the Sovereign dispatch their armada to search for vengeance. As the Guardians try to escape, the mystery of Peter's parentage is revealed.",James Gunn,Kevin Feige,James Gunn,Walt Disney Pictures,"Marvel Studios, Walt Disney Pictures",PG-13 (Language|Brief Suggestive Content|Sequences of Sci-Fi Action|Violence),"Sci-Fi, Adventure, Action, Fantasy, Comedy",English,"May 5, 2017, Wide","Jul 10, 2017",2h 15m,Scope (2.35:1),Sylvester Stallone,"Dolby Digital, Dolby Atmos",$389.8M,,,
Ratchet & Clank,2016,https://www.rottentomatoes.com/m/ratchet_and_clank,42,22,"Ratchet is the last of his kind, a foolhardy lombax who grew up without a family. Clank is a pint-sized robot with more brains than brawn. After stumbling upon a weapon that can destroy entire planets, they join forces with a team of do-gooders known as the Galactic Rangers. Together, they must stop the evil alien Chairman Drek from utilizing this dangerous technology. Along the way, Ratchet and Clank learn valuable lessons about heroism, friendship and discovering one's own identity.",Kevin Munroe,"Kim Dent Wilder, Brad Foxhoven, David Wohl","T.J. Fixman, Gerry Swallow, Kevin Munroe",Focus Features,"Gramercy, Rainmaker Entertainment",PG (Some Rude Humor|Action),"Kids & Family, Comedy, Adventure, Action, Sci-Fi, Animation",English,"Apr 29, 2016, Wide","Oct 1, 2016",1h 34m,Scope (2.35:1),Sylvester Stallone,Dolby Digital,$8.8M,,,
Creed,2015,https://www.rottentomatoes.com/m/creed_2015,89,95,"Adonis Johnson (Michael B. Jordan) never knew his famous father, boxing champion Apollo Creed, who died before Adonis was born. However, boxing is in his blood, so he seeks out Rocky Balboa (Sylvester Stallone) and asks the retired champ to be his trainer. Rocky sees much of Apollo in Adonis, and agrees to mentor him, even as he battles an opponent deadlier than any in the ring. With Rocky's help, Adonis soon gets a title shot, but whether he has the true heart of a fighter remains to be seen.",Ryan Coogler,"Irwin Winkler, Robert Chartoff, Charles Winkler, William Chartoff, David Winkler, Kevin King Templeton, Sylvester Stallone","Ryan Coogler, Aaron Covington",Warner Bros. Pictures,Chartoff Winkler,PG-13 (Some Sensuality|Language|Violence),Drama,English,"Nov 25, 2015, Wide","Aug 21, 2016",2h 13m,Scope (2.35:1),Sylvester Stallone,"Datasat, Dolby Digital, Dolby Atmos",$109.7M,,,
Reach Me,2014,https://www.rottentomatoes.com/m/reach_me,47,4,"A mysterious author's (Tom Berenger) self-help book inspires a journalist, his editor, a former convict, an actor and others to re-evaluate their choices and work toward creating better lives.",John Herzfeld,"Rebekah Chaney, Cassian Elwes, John Herzfeld, Buddy Patrick",John Herzfeld,Millennium Entertainment,"Seraphim Films, Windy Hill Pictures",PG-13 (Language|Drug Use|Sexual Content|Smoking|Violence),Drama,English,"Nov 21, 2014, Limited","Jan 25, 2017",1h 35m,,Sylvester Stallone,,,,,
The Expendables 3,2014,https://www.rottentomatoes.com/m/the_expendables_3,48,32,"Years ago, Barney Ross (Sylvester Stallone) co-founded the Expendables with Conrad Stonebanks (Mel Gibson). After Stonebanks became an arms dealer, Ross was forced to kill him -- or so he thought. Now, Stonebanks is back and he's on a mission to end the Expendables. Ross decides that the way to fight old blood is with new blood, so he assembles a team of younger, faster, more tech-savvy recruits. The battle to topple Stonebanks becomes a clash of old-school methods vs. high-tech expertise.",Patrick Hughes,"Avi Lerner, Kevin King Templeton, Danny Lerner, Les Weldon, John Thompson","Sylvester Stallone, Creighton Rothenberger, Katrin Benedikt",Lionsgate Films,"Millennium Films, Lions Gate Films, Nu Image Entertainment GmbH",PG-13 (Intense Sustained Gun Battles|Fight Scenes|Language|Violence),"Action, Mystery & Thriller, Adventure",English,"Aug 15, 2014, Wide","Feb 4, 2016",2h 7m,,Sylvester Stallone,Dolby Digital,$39.3M,,,
The Go-Go Boys: The Inside Story of Cannon Films,2014,https://www.rottentomatoes.com/m/the_go_go_boys_the_inside_story_of_cannon_films,60,NA,"Menahem Golan and Yoram Globus turn the Hollywood power structure upside down, and found the most powerful independent film company in the world.",Hilla Medalia,"Yariv Horowitz, Hilla Medalia, Neta Zwebner-Zaibert, Roy Lev","Hilla Medalia, Daniel Sivan",,"Arte, kNow Productions, Medalia Productions",,Documentary,English,,,1h 30m,,Sylvester Stallone,,,,,
Grudge Match,2013,https://www.rottentomatoes.com/m/grudge_match_2014,46,31,"Pittsburgh boxers Billy ""The Kid"" McDonnen (Robert De Niro) and Henry ""Razor"" Sharp (Sylvester Stallone) shared a fierce rivalry back in the 1980s. Each had scored a victory in two matches, but on the eve of their decisive third bout, Henry suddenly announced his retirement, effectively ending both boxers' careers. Thirty years later, boxing promoter Dante Slate Jr. (Kevin Hart) makes Billy and Henry an offer they can't refuse: Return to the ring and settle the score once and for all.",Peter Segal,"Bill Gerber, Mark Steven Johnson, Michael Ewing, Peter Segal, Ravi Mehta","Tim Kelleher, Rodney Rothman",Warner Bros. Pictures,"Gerber Pictures, Callahan Filmworks",PG-13 (Sexual Content|Language|Sports Action Violence),Comedy,English,"Dec 25, 2013, Wide","Dec 12, 2015",1h 53m,,Sylvester Stallone,"Datasat, Dolby Digital",$29.8M,,,
Homefront,2013,https://www.rottentomatoes.com/m/homefront,61,42,"Hoping to escape from his troubled past, former DEA agent Phil Broker (Jason Statham) moves to a seemingly quiet backwater town in the bayou with his daughter. However, he finds anything but quiet there, for the town is riddled with drugs and violence. When Gator Bodine (James Franco), a sociopathic druglord, puts the newcomer and his young daughter in harm's way, Broker is forced back into action to save her and their home. Based on a novel by Chuck Logan.",Gary Fleder,"Sylvester Stallone, Kevin King Templeton, John Thompson",Sylvester Stallone,Open Road,"Endgame Entertainment, Millennium Films",R (Drug Content|Brief Sexuality|Pervasive Language|Strong Violence),"Action, Mystery & Thriller",English,"Nov 27, 2013, Wide","May 13, 2014",1h 40m,,Sylvester Stallone,Dolby Digital,$20.1M,,,
Escape Plan,2013,https://www.rottentomatoes.com/m/escape_plan,55,50,"Tough and chiseled Ray Breslin (Sylvester Stallone) knows how to infiltrate a prison -- and bust out of one. His latest job leads to a double-cross, leaving him stuck in a high-tech facility with the worst that society has to offer. Luckily for Ray, he meets Emil Rottmayer (Arnold Schwarzenegger), an inmate who secretly helps him hatch a plot to win his freedom. Only sadistic warden Hobbes (Jim Caviezel) stands in the way of the two men successfully making it out alive.",Mikael Håfström,"Mark Canton, Randall Emmett, Remington Chase, Robbie Brenner, Kevin King Templeton","Miles Chapman, Arnell Jesko",Summit Entertainment,"Boies/Shiller Films, Emmett/Furla Films, Envision Entertainment, Mark Canton",R (Violence|Language Throughout),"Action, Mystery & Thriller",English,"Oct 18, 2013, Wide","Nov 19, 2015",1h 50m,,Sylvester Stallone,"SDDS, Dolby Digital, DTS, Datasat",$25.1M,,,
Bullet to the Head,2012,https://www.rottentomatoes.com/m/bullet_to_the_head,39,45,"When veteran hit man Jimmy Bobo (Sylvester Stallone) and his partner, Louis (Jon Seda), kill a corrupt ex-cop, Louis in turn loses his life to an ex-mercenary named Keegan (Jason Momoa). Detective Taylor Kwon (Sung Kang) senses a connection between the two killings and seeks out Bobo, who subsequently saves Kwon from an assassination attempt. The pair join forces against a common enemy: a ruthless real-estate developer named Robert Nkomo Morel (Adewale Akinnuoye-Agbaje).",Walter Hill,"Alexandra Milchan, Alfred Gough, Miles Millar, Kevin King Templeton",Alessandro Camon,Warner Bros. Pictures,"Millar Gough Ink, After Dark Films, Emjag",R (Brief Drug Use|Bloody Images|Language|Some Nudity|Strong Violence),"Action, Mystery & Thriller",English,"Feb 1, 2013, Wide","Jul 25, 2014",1h 31m,,Sylvester Stallone,"SDDS, Dolby Digital, DTS",$9.5M,,,
The Expendables 2,2012,https://www.rottentomatoes.com/m/the_expendables_2,67,68,"Mercenary leader Barney Ross (Sylvester Stallone), Lee Christmas (Jason Statham) and the rest of the Expendables team reunite when Mr. Church (Bruce Willis) hires them for a seemingly easy job. But things go terribly wrong, compelling the mercenaries to seek revenge for a comrade's murder. With the odds against them, Barney and his team are hell-bent on payback and cut a path of destruction through opposing forces, only to encounter an unexpected threat: six pounds of weapons-grade plutonium.",Simon West,"Les Weldon, Danny Lerner, Kevin King Templeton, Avi Lerner","Richard Wenk, Sylvester Stallone",Lionsgate Films,"Le Vision Pictures, Nu Image, Lionsgate, Millennium Films, Splendid Film",R (Strong Bloody Violence),"Action, Adventure, Mystery & Thriller",English,"Aug 17, 2012, Wide","Dec 20, 2015",1h 43m,,Sylvester Stallone,"Datasat, Dolby Digital",$85.0M,,,
Zookeeper,2011,https://www.rottentomatoes.com/m/zookeeper,41,14,"Kindhearted Griffin Keyes (Kevin James) is one of the best-loved caretakers at the Franklin Park Zoo, but since he is more comfortable with the animals than with females of his own species, his love life is lacking. When Griffin decides that the only way to get a girlfriend is to find a more-glamorous career, the animals panic. To keep him from leaving, they reveal their secret ability to talk and offer to teach him the rules of courtship, animal style.",Frank Coraci,"Todd Garner, Kevin James, Adam Sandler, Jack Giarraputo, Walt Becker","Nick Bakay, Rock Reuben, Kevin James, Jay Scherick, David Ronn",Sony Pictures Entertainment,"Broken Road, Happy Madison Productions, Hey Eddie",PG (Some Rude/Suggestive Humor|Language),"Comedy, Fantasy",English,"Jul 8, 2011, Wide","Dec 8, 2011",1h 41m,,Sylvester Stallone,"SDDS, Dolby Digital, DTS",$80.4M,,,
The Expendables,2010,https://www.rottentomatoes.com/m/the_expendables,64,42,"Mercenary leader Barney Ross (Sylvester Stallone) and his loyal men take on what they think is a routine assignment: a covert operation to invade the South American country of Vilena and overthrow its dictator. But, when they learn that the job will be a suicide mission, they must choose redemption or the destruction of their brotherhood.",Sylvester Stallone,"Avi Lerner, John Thompson, Kevin King Templeton","Sylvester Stallone, David Callaham",Lionsgate Films,"Nu Image, Lions Gate Films, Millennium Films",R (Some Language|Bloody Violence Throughout|Strong Action Violence),"Action, Adventure, Mystery & Thriller",English,"Aug 13, 2010, Wide","Dec 20, 2015",1h 43m,,Sylvester Stallone,"Dolby Digital, DTS",$103.0M,,,
Incredible Love,2009,https://www.rottentomatoes.com/m/1214083-kambakkht_ishq,31,NA,"In Hollywood, a chauvinistic stuntman (Akshay Kumar) and a glamorous surgeon and sometime model (Kareena Kapoor) share a love-hate relationship.",Sabbir Khan,Sajid Nadiadwala,"Sabbir Khan, Ishita Moitra, Anvita Dutt",,"Nadiadwala Grandson Entertainment, Eros Entertainment",,"Romance, Comedy, Action, Musical",Hindi,,"Nov 30, 2016",2h 19m,,Sylvester Stallone,,$1.4M,,,
Amerika Idol,2009,https://www.rottentomatoes.com/m/amerika-idol,67,NA,"A small village in Serbia believes that Rocky Balboa can reverse their 4,000 years of bad luck.",Barry Avrich,Melissa Coghlan,Barry Avrich,,,,Documentary,English,,,46m,,Sylvester Stallone,,,,,
Rambo,2008,https://www.rottentomatoes.com/m/john_rambo,69,38,"Having long-since abandoned his life as a lethal soldier, John Rambo (Sylvester Stallone) lives a solitary life near the Thai border. Two weeks after guiding a missionary (Julie Benz) and her comrades into Burma, he gets an urgent call for help. The missionaries have not returned and although he is reluctant to embrace violence again, Rambo sets out to rescue the captives from the Burmese army.",Sylvester Stallone,"Sylvester Stallone, Avi Lerner, John Thompson, Kevin King Templeton","Art Monterastelli, Sylvester Stallone",Lionsgate Films,"Lionsgate Films, Millennium Films",R (Language|Grisly Images|Sexual Assaults|Strong Graphic Bloody Violence),"Action, Adventure",English,"Jan 25, 2008, Wide","Aug 26, 2016",1h 31m,Scope (2.35:1),Sylvester Stallone,"Dolby SRD, DTS, SDDS",$42.7M,,,
Rocky Balboa,2006,https://www.rottentomatoes.com/m/rocky_balboa,76,78,"Now long-retired, Rocky (Sylvester Stallone) runs a Philadelphia eatery and mourns the loss of his beloved wife, Adrian. Yearning to recapture a bit of his glory days, he plans to re-enter the ring for a few low-profile, local matches. All that changes when Rocky accepts a challenge to fight the world's reigning heavyweight champion, Mason ""the Line"" Dixon (Antonio Tarver).",Sylvester Stallone,"William Chartoff, Kevin King Templeton, Charles Winkler, David Winkler",Sylvester Stallone,Metro-Goldwyn-Mayer,"Rogue Marble, Columbia Pictures Corporation, Metro-Goldwyn-Mayer, Chartoff-Winkler Productions, Revolution Studios, United Artists",PG (Some Language|Boxing Violence),Drama,English,"Dec 20, 2006, Wide","Oct 31, 2015",1h 42m,Flat (1.85:1),Sylvester Stallone,"Dolby SRD, DTS, SDDS",$70.3M,,,
Shade,2003,https://www.rottentomatoes.com/m/shade,58,67,"Tiffany (Jamie Foxx), Charlie (Gabriel Byrne) and Vernon (Thandie Newton) are con artists looking to up the ante from their typical scams. They figure a good way of doing this is taking down Dean ""The Dean"" Stevens (Dina Merrill), a well-known cardsharp, in a rigged game. However, they first need enough money to enter a game with Stevens, so they decide to strike a deal with fellow crook Larry Jennings (Stuart Townsend) to scam a local gangster -- which turns out to be a bad idea.",Damian Nieman,"Chris Hammond, David Schnepp, Ted Hartley, Merv Griffin",Damian Nieman,,"Omen Pictures, Hammond Entertainment, Cobalt Media Group, RKO Pictures, Merv Griffin Entertainment, Judgement Pictures",R,"Mystery & Thriller, Crime, Drama",English,,"Apr 22, 2016",1h 41m,,Sylvester Stallone,Surround,$24.7K,,,
Spy Kids 3: Game Over,2003,https://www.rottentomatoes.com/m/spy_kids_3d_game_over,25,45,"Pint-sized kid spy Juni Cortez (Daryl Sabara) faces his biggest challenge yet when he confronts the Toymaker (Sylvester Stallone), a ruthless villain sentenced to virtual prison by the Organization of Super Spies. The Toymaker has captured Juni's sister, OSS agent Carmen (Alexa Vega), and is holding her inside a virtual reality environment called ""Game Over."" Now Juni must use his cunning to advance to the nearly impossible ""Level Five"" in order to rescue his sister.",Robert Rodriguez,"Robert Rodriguez, Elizabeth Avellan",Robert Rodriguez,,"Troublemaker Studios, Los Hooligans Productions, Dimension Films",PG (Peril|Action Sequences),"Kids & Family, Adventure, Action, Fantasy, Comedy",English,"Jul 23, 2003, Wide","Sep 5, 2016",1h 29m,,Sylvester Stallone,Surround,$111.8M,,,
Avenging Angelo,2002,https://www.rottentomatoes.com/m/1121133-avenging_angelo,33,13,"When elderly Mafia boss Angelo (Anthony Quinn) gets killed in a restaurant, his loyal bodyguard, Frankie (Sylvester Stallone), decides he must protect Angelo's daughter -- high-strung socialite Jennifer (Madeleine Stowe) -- who may also be in danger. Jennifer, however, doesn't even realize that Angelo is her father, as he gave her up for adoption years ago. After Frankie tells her the truth, she sets out to avenge Angelo's death with a very shaky understanding of Mafia protocol.",Martyn Burke,"Tarak Ben Ammar, Elie Samaha, Stanley Wilson","William Porter, Steve Mackall",,Franchise Pictures,R (Some Language|Sexual Content),"Romance, Comedy, Action",English,,"Mar 13, 2017",1h 36m,,Sylvester Stallone,"Dolby Stereo, Dolby A, SDDS, DTS, Surround, Dolby Digital, Dolby SR",,,,
Eye See You,2002,https://www.rottentomatoes.com/m/d_tox,28,17,"Recovering from the psychological effects of witnessing a brutal crime, FBI Agent Jake Malloy (Sylvester Stallone) checks into a rehabilitation clinic for law enforcement officers in the remote wilderness of Wyoming during the dead of winter. He soon finds himself helping other patients as a serial killer begins killing them one by one.",Jim Gillespie,"Karen Kehela Sherwood, Ric Kidney, Kevin King Templeton","Howard Swindle, Ron L. Brinkerhoff",Universal Pictures,"Imagine Entertainment, Soul Simple Productions, Universal Pictures",R (Language|Gore|Strong Violence),Mystery & Thriller,English,"Jan 4, 2002, Original","May 22, 2017",1h 35m,Scope (2.35:1),Sylvester Stallone,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",,,,
Driven,2001,https://www.rottentomatoes.com/m/1107198-driven,33,14,"A cutting-edge action drama about an exciting cast of characters living life in the fastest of lanes, in the thrilling and dangerous world of high-tech car racing. Rookie Jimmy Bly (Kip Pardue) could go all the way, but not without the help of fallen legend Joe Tanto (Sylvester Stallone) or without the love of another racer's girl (Estella Warren).",Renny Harlin,"Renny Harlin, Elie Samaha, Sylvester Stallone",Sylvester Stallone,Warner Bros. Pictures,Franchise Pictures,PG-13 (Language|Intense Crash Sequences),Action,English,"Apr 27, 2001, Wide","Oct 2, 2017",1h 57m,Scope (2.35:1),Sylvester Stallone,"Dolby SR, DTS, Dolby Stereo, Surround, SDDS, Dolby A, Dolby Digital",$32.6M,,,
Get Carter,2000,https://www.rottentomatoes.com/m/1100569-get_carter,28,11,"Sylvester Stallone plays Jack Carter, a Vegas mobster who comes home to Seattle to bury his brother after an apparent car accident. Once home he begins to believe that it may not have been an accident. His two-day journey through the underbelly of the city leads Jack through revenge, reconnection with a family he left behind many year earlier, and, ultimately, redemption.",Stephen Kay,"Neil Canton, Mark Canton, Elie Samaha","Ted Lewis, David McKenna",Warner Bros. Pictures,"Carter Productions LLC, Warner Brothers, Franchise Pictures, Morgan Creek Productions, Canton Company",R (Language|Drug Content|Some Sexuality|Violence),Mystery & Thriller,English,"Oct 6, 2000, Wide","Jul 24, 2014",1h 44m,Scope (2.35:1),Sylvester Stallone,"Surround, Dolby SR, Dolby Digital, SDDS",$15.0M,,,
Antz,1998,https://www.rottentomatoes.com/m/antz,52,92,"Z the worker ant (Woody Allen) strives to reconcile his own individuality with the communal work-ethic of the ant colony. He falls in love with ant-Princess Bala (Sharon Stone), Z strives to make social inroads, and then must save the ant colony from the treacherous scheming of the evil General Mandible (Gene Hackman) that threaten to wipe out the entire worker population.","Eric Darnell, Tim Johnson","Brad Lewis, Aron Warner, Patty Wooton","Todd Alcott, Chris Weitz, Paul Weitz",DreamWorks SKG,"DreamWorks SKG, Pacific Data Images (PDI)",PG (Mild Language|Menacing Action),"Kids & Family, Romance, Comedy, Adventure, Fantasy, Animation",English,"Oct 2, 1998, Wide","Nov 25, 2015",1h 27m,Flat (1.85:1),Sylvester Stallone,"Surround, Dolby SR, Dolby Digital, DTS, SDDS",$90.7M,,,
Cop Land,1997,https://www.rottentomatoes.com/m/cop_land,67,75,"When hotheaded Superboy (Michael Rapaport) accidentally gets involved in an ugly racially-motivated incident, his uncle Ray Donlan (Harvey Keitel), a corrupt New York City cop, attempts to sweep it under the rug by helping fake his nephew's death. The bungled cover-up leads to investigations by idealistic Internal Affairs officer Moe Tilden (Robert De Niro) and Freddy Heflin (Sylvester Stallone), sheriff of the suburban New Jersey town where Donlan and his fellow crooked policemen live.",James Mangold,"Cary Woods, Ezra Swerdlow, Cathy Konrad",James Mangold,"Miramax Films, Buena Vista Pictures","Miramax Films, Woods Entertainment",R (Strong Language|Brief Nudity|Violence),"Crime, Drama, Mystery & Thriller",English,"Aug 15, 1997, Original","Oct 8, 2016",1h 45m,"35mm, Flat (1.85:1)",Sylvester Stallone,"Surround, Dolby Digital, SDDS",$44.9M,,,
"An Alan Smithee Film: Burn, Hollywood, Burn",1997,https://www.rottentomatoes.com/m/an_alan_smithee_film_burn_hollywood_burn,15,8,The cast and crew of an action movie tell why its institutionalized director stole and destroyed the film.,Arthur Hiller,Ben Myron,Joe Eszterhas,,"Cinergi Pictures Entertainment, Hollywood Pictures",R,Comedy,English,"Feb 27, 1998, Limited","Mar 1, 2013",1h 26m,,Sylvester Stallone,Surround,$43.9K,,,
Daylight,1996,https://www.rottentomatoes.com/m/daylight,37,26,A group of armed robbers fleeing the police head for the New Jersey Tunnel and run right into trucks transporting toxic waste. The spectacular explosion that follows results in both ends of the tunnel collapsing and the handful of people who survived the explosion are now in peril. Kit Latura is the only man with the skill and knowledge to lead the band of survivors out of the tunnel before the structure collapses.,Rob Cohen,"John Davis, Joseph Singer, David T. Friendly",Leslie Bohem,Universal Pictures,"Davis Entertainment, Universal Pictures",PG-13,"Action, Mystery & Thriller",English,"Dec 6, 1996, Original","Apr 19, 2016",1h 55m,,Sylvester Stallone,Surround,$32.9M,,,
Judge Dredd,1995,https://www.rottentomatoes.com/m/judge_dredd,31,22,"In the crime-plagued future, the only thing standing between order and chaos is Judge Joseph Dredd (Sylvester Stallone). His duty: police the violent metropolitan sprawls that crowd the decaying earth, and kill criminals on the spot if necessary. The tables are turned, however, when maniacal ex-Judge Rico (Armand Assante) frames Dredd for murder. But, as his opponents soon discover, not even a prison sentence can stop Dredd from doling out his signature brand of justice.",Danny Cannon,"Charles Lippincott, Beau Marks","William Wisher Jr., Steven E. de Souza",,"Hollywood Pictures, Cinergi Pictures Entertainment",R,"Action, Sci-Fi",English,,"Aug 10, 2016",1h 36m,,Sylvester Stallone,Surround,$34.7M,,,
Assassins,1995,https://www.rottentomatoes.com/m/assassins,45,16,"Assassin Robert Rath (Sylvester Stallone) arrives at a funeral to kill a prominent mobster, only to witness rival hired gun Miguel Bain (Antonio Banderas) complete the job for him -- with grisly results. Horrified by the murder of innocent bystanders, Rath decides to take one last job and then return to civilian life. But finding his way out of the world of contract killing grows ever more dangerous as Rath falls for his target, Electra (Julianne Moore), and becomes a marked man himself.",Richard Donner,"Richard Donner, Bruce A. Evans, Andrew Lazar, Joel Silver","Lilly Wachowski, Lana Wachowski, Lilly Wachowski, Lana Wachowski, Brian Helgeland",Warner Bros. Pictures,"Evansgideon/Lazar, Donner/Schuler-Donner, Silver Pictures, Warner Brothers",R (Violence|Language),Action,English,"Oct 6, 1995, Wide","May 1, 2008",2h 12m,Flat (1.85:1),Sylvester Stallone,"Surround, SDDS, Dolby Stereo, Stereo",,,,
The Specialist,1994,https://www.rottentomatoes.com/m/1056079-specialist,29,10,"Former CIA demolition expert Ray Quick (Sylvester Stallone) lives in Miami, where he works as a hit man. May Munro (Sharon Stone) contacts Ray to kill a family of mobsters led by Tom Leon (Rod Steiger) and his son (Eric Roberts), who murdered May's parents 20 years ago. Ray agrees to the job and also begins an affair with May. His mission is complicated when he learns his former partner, Ned (James Woods), now works for the mobsters he is trying to kill.",Luis Llosa,Jerry Weintraub,Alexandra Seros,,"Warner Bros., Jerry Weintraub Productions",R,Action,English,,"Jan 1, 2009",1h 49m,,Sylvester Stallone,"Surround, Stereo",$55.2M,,,
