title,year,movie_url,audience_score,critics_score,synopsis,Director,Producer,Screenwriter,Distributor,Production Co,Rating,Genre,Original Language,Release Date (Theaters),Release Date (Streaming),Runtime,Aspect Ratio,Director Name,Sound Mix,Box Office (Gross USA),Release Date (DVD),Rerelease Date (Theaters),Creator
The Bronx Bull,2015,https://www.rottentomatoes.com/m/the_bronx_bull,39,NA,Jake LaMotta (William Forsythe) becomes a world-class boxing champion but lives a troubled life outside of the ring.,Martin Guigui,"Rustam Branaman, Ron Singer, Scott Reed, David C. Traub","Rustam Branaman, Martin Guigui",Momentum Pictures,Sunset Pictures,R (Brutal Fights|Some Sexual Content/Nudity|Pervasive Language),"Biography, History, Drama",English,"Jan 6, 2017, Limited","Jan 6, 2017",1h 34m,,Martin Guigui,,,,,
Beneath the Darkness,2011,https://www.rottentomatoes.com/m/beneath_the_darkness,15,0,Teenagers discover a terrible secret when they break into the home of a mortician (Dennis Quaid) whose wife died two years earlier.,Martin Guigui,Ronnie D. Clemmer,Bruce Wilkinson,Image Entertainment,"Sunset, Raincreek Productions, BTDARK",R (Some Violence|Language),Mystery & Thriller,English,"Jan 6, 2012, Limited","Aug 27, 2012",1h 37m,,Martin Guigui,,$9.6K,,,
Born to Ride,2011,https://www.rottentomatoes.com/m/born_to_ride_2011,21,NA,Mike (Casper Van Dien) and his buddy Alex (Patrick Muldoon) hit the road on their refurbished motorcycles.,James Fargo,"Michael C. Edwards, Martin Guigui, Dahlia Waingort Guigui","Mike Anthony Jones, Robert Vozza",,Sunset Pictures,,Action,English,"Jul 26, 2011, Original","Dec 5, 2016",1h 30m,,Martin Guigui,,,,,
Benny Bliss and the Disciples of Greatness,2009,https://www.rottentomatoes.com/m/benny-bliss-the-disciples-of-greatness,NA,NA,A musician has an epiphany during electroshock therapy and decides to rid the world of electronic gadgets. He takes a converted bus around the country to spread his message.,Martin Guigui,"Courtney Gains, Pete Wooster","Martin Guigui, Courtney Gains, Michael Hateley",,,,Comedy,English,,"Sep 26, 2017",1h 34m,,Martin Guigui,,,,,
Oy Vey! My Son Is Gay!,2009,https://www.rottentomatoes.com/m/oy_vey_my_son_is_gay,58,NA,"A Jewish couple (Lainie Kazan, Saul Rubinek) seeks enlightenment when their grown son (John Lloyd Young) reveals his homosexuality.",Evgeny Afineevsky,"Evgeny Afineevsky, Svetlana Anufrieva, Igor Zektser, Rich Cowan","Menahem Golan, Martin Guigui, Evgeny Afineevsky, Arnold Somkin",,North by Northwest Entertainment,PG-13 (Sexual Content|Partial Nudity|Language|Some Thematic Material),"Comedy, LGBTQ+",English,"Dec 24, 2010, Limited","May 3, 2015",1h 30m,,Martin Guigui,Dolby,$87.2K,,,
National Lampoon's Cattle Call,2006,https://www.rottentomatoes.com/m/national_lampoons_cattle_call,11,NA,"Three lonely friends (Thomas Ian Nicholas, Diedrich Bader) endure the wrath of women who responded to their fake casting call.",Martin Guigui,,Martin Guigui,,Astrablu Media,R (Language|Sexuality|Nudity),Comedy,English,"Jun 1, 2006, Original","Jan 3, 2017",1h 30m,,Martin Guigui,,,,,
Swing,2003,https://www.rottentomatoes.com/m/swing,NA,42,"Anthony's (Innis Casey) father (Tom Skerritt) and fiance want him to settle down, but all he wants is to be a full-time musician. Anthony finds an amazing '40s night club and learns that by following his heart, he can have real happiness.",Martin Guigui,"Debbie Brubaker, Dahlia Waingort Guigui, Ken Patton",Mary Keil,,Sunset Pictures,PG-13 (Some Sexual Content),"Comedy, Fantasy, Romance",English,,"May 22, 2017",1h 38m,,Martin Guigui,,,,,
Changing Hearts,2002,https://www.rottentomatoes.com/m/changing_hearts,64,NA,A woman (Lauren Holly) who has cancer faces her problem with optimism and hope.,Martin Guigui,,Daniel Wright,,Crazy Dreams Entertainment,,Drama,English,,"Mar 10, 2017",1h 35m,,Martin Guigui,,,,,
My X-Girlfriend's Wedding Reception,1999,https://www.rottentomatoes.com/m/my_x_girlfriends_wedding_reception,60,NA,A bride's ex-boyfriend performs with the band at her wedding reception.,Martin Guigui,Bill Henne,Martin Guigui,,"Matonti Films, Ramma Productions",,Comedy,English,"Oct 4, 2001, Limited","Jan 25, 2017",1h 28m,,Martin Guigui,,,,,
Armed Response,2017,https://www.rottentomatoes.com/m/armed_response_2017,15,0,"Trained operatives find themselves trapped inside an isolated military compound after its artificial intelligence is suddenly shut down. There, they begin to experience strange and horrific phenomena.",John Stockwell,"Michael J. Luisi, Gene Simmons, Wesley Snipes",Matt Savelloni,,"WWE Studios, Saban Films, Erebus Pictures",R (Some Grisly Images|Language|Strong Violence),"Horror, Mystery & Thriller, Action",English,,"Jul 9, 2017",1h 33m,,John Stockwell,,,,,
Kickboxer: Vengeance,2016,https://www.rottentomatoes.com/m/kickboxer_vengeance,45,41,"Kurt Sloane (Alain Moussi) has always been there for his brother, Eric (Darren Shahlavi), who's known in the martial arts world as a modern-day warrior. But when the ruthless and undefeated fighter Tong Po (Dave Bautista) brutally ends Eric's life in a no-holds-barred match in Thailand, Kurt devotes himself to training with a master in a quest for redemption and revenge.",John Stockwell,"Ted Field, Nicholas Celozzi, Allen Knudson, Samuel Cory Timpson, Robert Hickman, Dimitri Logothetis","Dimitri Logothetis, Jim McGrath",RLJ Entertainment,Radar Pictures,,Action,English,"Sep 2, 2016, Limited","Jan 19, 2017",1h 30m,,John Stockwell,,,,,
Countdown,2016,https://www.rottentomatoes.com/m/countdown_2016,33,NA,"A madman captures a young boy and rigs him with explosives. Ray Fitzpatrick (Dolph Ziggler), still haunted by the loss of his own son, will defy orders to stop the clock and save a life.",John Stockwell,Michael J. Luisi,"Michael Finch, Richard Wenk",,WWE Studios,,Action,English,,"Apr 5, 2016",1h 30m,,John Stockwell,,,,,
Countdown,2016,https://www.rottentomatoes.com/m/countdown_2016_2,NA,NA,Synopsis not found,John Stockwell,Michael J. Luisi,"Richard Wenk, Michael Finch",,WWE Studios,R,"Action, Crime, Drama",Hindi,,,1h 33m,,John Stockwell,,,,,
Cat Run 2,2014,https://www.rottentomatoes.com/m/cat_run_2,16,NA,Bumbling private detectives tangle with sexy females spies and a government conspiracy in New Orleans.,John Stockwell,,"Andrew Manson, Matt Manson",,Lleju Productions,R (Language|Graphic Nudity|Brief Drug Use|Strong Sexuality|Violence),"Action, Comedy",English,,"Aug 12, 2014",1h 37m,,John Stockwell,,,,,
