鄉鎮市區,交易標的,土地位置建物門牌,土地面積平方公尺,都市土地使用分區,非都市土地使用分區,非都市土地使用編定,租賃年月日,租賃筆棟數,租賃層次,總樓層數,建物型態,主要用途,主要建材,建築完成年月,建物總面積平方公尺,建物現況格局-房,建物現況格局-廳,建物現況格局-衛,建物現況格局-隔間,有無管理組織,有無附傢俱,總額元,單價元平方公尺,車位類別,車位面積平方公尺,車位總額元,備註,編號
The villages and towns urban district,transaction sign,land sector position building sector house number plate,land shifting total area square meter,the use zoning or compiles and checks,the non-metropolis land use district,non-metropolis land use,transaction year month and day,transaction pen number,shifting level,total floor number,building state,main use,main building materials,construction to complete the years,building shifting total area,Building present situation pattern - room,building present situation pattern - hall,building present situation pattern - health,building present situation pattern - compartmented,Whether there is manages the organization,Whether there is attaches the furniture,total price NTD,the unit price (NTD / square meter),the berth category,berth shifting total area square meter,the berth total price NTD,the note,serial number
北投區,建物,台北市北投區吉利街93號1F,0.0,住,,,1011225,土地0建物1車位0,一層,5,公寓(5樓含以下無電梯),商業用,鋼筋混凝土造,0750204,129.11,0,0,0,無,無,無,38000,294,,0.0,0,,RPXPMLSLKIHFFEA78CC
北投區,建物,台北市北投區大度路三段２７０巷６９號１２樓之７,0.0,其他,,,1011211,土地0建物1車位0,十二層,19,住宅大樓(11層含以上有電梯),見其他登記事項,鋼筋混凝土造,1010217,62.56,1,1,1,有,無,有,18000,288,,0.0,0,,RPPRMLSLKIHFFEA18CC
大安區,建物,台北市大安區光復南路240巷48號9樓之2,0.0,商,,,1011223,土地0建物1車位0,九層,11,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,0941213,67.14,2,2,1,有,有,有,40000,596,,0.0,0,,RPUNMLSLKIHFFFA38CC
大安區,建物,台北市大安區信義路四段61號3樓,0.0,商,,,1011211,土地0建物1車位1,三層,17,辦公商業大樓,商業用,鋼筋混凝土造,0751229,342.56,5,0,2,有,有,無,133400,408,坡道平面,36.36,8400,,RPUOMLSLKIHFFFA48CC
大安區,建物,台北市大安區太順街54巷17號,0.0,住,,,1011224,土地0建物1車位0,一層,4,公寓(5樓含以下無電梯),,鋼筋混凝土造,0631020,198.12,6,2,2,有,無,無,80000,404,,0.0,0,,RPUPMLSLKIHFFFA58CC
大安區,建物,台北市大安區四維路１７０巷３６號４樓之３,0.0,住,,,1011204,土地0建物1車位0,四層,8,華廈(10層含以下有電梯),住家用,鋼筋混凝土造,0980115,64.49000000000001,1,1,1,有,有,有,28000,434,,0.0,0,本租金為含稅價,RPQQMLSLKIHFFFA28CC
萬華區,房地(土地+建物),台北市萬華區貴陽街2段204號,76.0,商,,,1011215,土地1建物1車位0,全,2,透天厝,,磚造,,156.69,3,2,2,有,無,無,20000,128,,0.0,0,,RPPPMLSLKIHFFBA77DC
大安區,房地(土地+建物),台北市大安區忠孝東路四段312號3樓之2,9.77,商,,,1020101,土地1建物1車位0,三層,12,住宅大樓(11層含以上有電梯),住家用,鋼筋混凝土造,,82.0,2,1,1,有,有,無,28000,341,,0.0,0,,RPOQMLSLKIHFFFA18DC
中正區,建物,台北市中正區博愛路71號,0.0,商,,,1020101,土地0建物1車位0,全,3,透天厝,,加強磚造,,321.51,0,0,0,無,無,無,211111,657,,0.0,0,,RPWNMLSLKIHFFBA18CC
大同區,建物,台北市大同區市民大道一段207號10樓本號,0.0,其他,,,1011115,土地0建物0車位0,十層,18,住宅大樓(11層含以上有電梯),住家用,見其他登記事項,0980724,80.4,2,1,1,有,有,有,40000,498,,0.0,0,,RPOOMLSLKIHFFBA47CC
